date,max,min,rain,snow,avg_max,avg_min
2016.06.02.,21,14,4,0,24,12
2016.06.03.,24,14,0,0,24,13
2016.06.04.,24,17,1,0,24,13
2016.06.05.,25,16,0,0,24,13
2016.06.06.,27,16,0,0,24,13
2016.06.07.,23,13,1,0,24,13
2016.06.08.,25,10,0,0,24,13
2016.06.09.,26,13,0,0,24,13
2016.06.10.,22,13,0,0,24,13
2016.06.11.,25,12,14,0,25,13
2016.06.12.,21,15,5,0,25,13
2016.06.13.,22,15,0,0,25,13
2016.06.14.,25,14,0,0,25,13
2016.06.15.,22,13,6,0,26,14
2016.06.16.,26,13,0,0,26,14
2016.06.17.,29,15,0,0,26,14
2016.06.18.,27,13,0,0,26,14
2016.06.19.,27,15,1,0,26,14
2016.06.20.,27,17,0,0,26,14
2016.06.21.,29,16,0,0,26,14
2016.06.22.,32,18,0,0,26,14
2016.06.23.,34,20,0,0,26,14
2016.06.24.,35,21,0,0,26,14
2016.06.25.,34,22,0,0,26,14
2016.06.26.,30,19,5,0,26,14
2016.06.27.,25,18,0,0,26,14
2016.06.28.,27,17,0,0,26,14
2016.06.29.,29,16,0,0,26,14
2016.06.30.,31,17,0,0,26,14
2016.07.01.,31,18,0,0,27,15
2016.07.02.,32,19,0,0,27,15
2016.07.03.,25,17,0,0,27,15
2016.07.04.,27,14,0,0,27,15
2016.07.05.,29,14,0,0,27,15
2016.07.06.,27,17,0,0,27,15
2016.07.07.,25,14,0,0,27,15
2016.07.08.,28,13,0,0,27,15
2016.07.09.,29,17,0,0,27,16
2016.07.10.,30,15,0,0,27,16
2016.07.11.,33,17,0,0,27,16
2016.07.12.,34,19,0,0,27,16
2016.07.13.,31,20,0,0,27,16
2016.07.14.,22,15,33,0,27,16
2016.07.15.,23,14,1,0,27,16
2016.07.16.,17,14,34,0,28,16
2016.07.17.,18,14,12,0,27,16
2016.07.18.,27,13,0,0,27,16
2016.07.19.,26,16,0,0,27,16
2016.07.20.,26,16,0,0,27,16
2016.07.21.,29,14,0,0,27,16
2016.07.22.,29,18,8,0,27,16
2016.07.23.,28,20,26,0,27,16
2016.07.24.,30,21,0,0,27,16
2016.07.25.,26,21,0,0,27,16
2016.07.26.,31,20,9,0,27,16
2016.07.27.,30,19,0,0,27,16
2016.07.28.,23,19,30,0,27,16
2016.07.29.,29,18,0,0,27,16
2016.07.30.,30,18,0,0,27,16
2016.07.31.,32,19,5,0,27,16
2016.08.01.,26,18,1,0,27,15
2016.08.02.,26,16,0,0,27,15
2016.08.03.,26,16,0,0,27,15
2016.08.04.,29,17,0,0,27,15
2016.08.05.,31,19,0,0,27,15
2016.08.06.,25,18,1,0,27,15
2016.08.07.,27,16,0,0,27,15
2016.08.08.,26,15,0,0,27,15
2016.08.09.,27,13,0,0,27,15
2016.08.10.,23,14,1,0,27,15
2016.08.11.,19,12,0,0,27,15
2016.08.12.,22,10,0,0,27,15
2016.08.13.,23,12,0,0,27,15
2016.08.14.,28,13,0,0,27,15
2016.08.15.,27,16,0,0,27,15
2016.08.16.,27,16,0,0,27,15
2016.08.17.,24,15,16,0,27,14
2016.08.18.,24,13,0,0,27,14
2016.08.19.,26,16,0,0,27,14
2016.08.20.,29,16,0,0,27,14
2016.08.21.,29,18,0,0,26,14
2016.08.22.,18,15,30,0,26,14
2016.08.23.,27,15,0,0,26,14
2016.08.24.,27,16,0,0,26,14
2016.08.25.,27,17,0,0,26,14
2016.08.26.,28,16,0,0,26,13
2016.08.27.,29,16,0,0,26,13
2016.08.28.,30,16,0,0,26,13
2016.08.29.,30,16,0,0,25,13
2016.08.30.,27,18,0,0,25,13
2016.08.31.,25,16,0,0,25,13
2016.09.01.,27,13,0,0,25,13
2016.09.02.,28,13,0,0,25,13
2016.09.03.,29,15,0,0,24,13
2016.09.04.,28,14,0,0,24,13
2016.09.05.,21,16,9,0,24,12
2016.09.06.,22,15,1,0,24,12
2016.09.07.,28,17,0,0,24,12
2016.09.08.,30,16,0,0,24,12
2016.09.09.,30,18,0,0,24,12
2016.09.10.,31,17,0,0,24,12
2016.09.11.,31,18,0,0,23,12
2016.09.12.,31,19,0,0,23,12
2016.09.13.,30,17,2,0,23,12
2016.09.14.,28,14,0,0,23,12
2016.09.15.,28,15,0,0,23,12
2016.09.16.,29,15,0,0,23,11
2016.09.17.,24,14,20,0,23,11
2016.09.18.,23,12,6,0,22,11
2016.09.19.,23,15,9,0,22,11
2016.09.20.,19,8,0,0,22,11
2016.09.21.,19,8,0,0,22,11
2016.09.22.,19,8,0,0,22,11
2016.09.23.,21,5,0,0,21,10
2016.09.24.,22,7,0,0,21,10
2016.09.25.,19,9,0,0,21,10
2016.09.26.,21,10,0,0,21,10
2016.09.27.,22,9,0,0,20,9
2016.09.28.,23,7,0,0,20,9
2016.09.29.,25,10,1,0,20,9
2016.09.30.,25,10,0,0,19,9
2016.10.01.,24,10,0,0,19,9
2016.10.02.,21,11,5,0,19,9
2016.10.03.,18,12,0,0,19,9
2016.10.04.,13,9,5,0,19,9
2016.10.05.,11,6,4,0,18,8
2016.10.06.,9,4,8,0,18,8
2016.10.07.,11,1,0,0,18,8
2016.10.08.,13,1,0,0,18,8
2016.10.09.,15,4,1,0,17,8
2016.10.10.,14,2,0,0,17,8
2016.10.11.,9,7,3,0,17,8
2016.10.12.,12,7,0,0,17,8
2016.10.13.,11,5,1,0,17,7
2016.10.14.,13,5,0,0,16,7
2016.10.15.,14,6,1,0,16,7
2016.10.16.,17,9,0,0,16,7
2016.10.17.,10,8,1,0,16,7
2016.10.18.,12,7,0,0,16,7
2016.10.19.,11,8,0,0,15,7
2016.10.20.,11,7,2,0,15,6
2016.10.21.,10,8,11,0,14,6
2016.10.22.,14,4,0,0,14,6
2016.10.23.,10,2,0,0,14,6
2016.10.24.,14,8,0,0,14,6
