date,tick,export,import,system_load
2016.01.05.,22-23,1583.0,2833.0,5103.0
2016.01.05.,23-24,1716.0,2884.0,4878.0
2016.01.06.,0-1,1751.0,2508.0,4550.0
2016.01.06.,1-2,1641.0,2339.0,4347.0
2016.01.06.,2-3,1546.0,2132.0,4140.0
2016.01.06.,3-4,1531.0,2035.0,4049.0
2016.01.06.,4-5,1528.0,2097.0,4145.0
2016.01.06.,5-6,1544.0,2262.0,4482.0
2016.01.06.,6-7,1312.0,2434.0,5255.0
2016.01.06.,7-8,1342.0,2597.0,5590.0
2016.01.06.,8-9,1270.0,2571.0,5652.0
2016.01.06.,9-10,1302.0,2664.0,5740.0
2016.01.06.,10-11,1221.0,2604.0,5784.0
2016.01.06.,11-12,1128.0,2607.0,5856.0
2016.01.06.,12-13,1058.0,2609.0,5883.0
2016.01.06.,13-14,1031.0,2558.0,5811.0
2016.01.06.,14-15,1119.0,2646.0,5762.0
2016.01.06.,15-16,1051.0,2610.0,5819.0
2016.01.06.,16-17,867.0,2606.0,5968.0
2016.01.06.,17-18,752.0,2515.0,5976.0
2016.01.06.,18-19,881.0,2567.0,5876.0
2016.01.06.,19-20,1056.0,2650.0,5805.0
2016.01.06.,20-21,1186.0,2581.0,5612.0
2016.01.06.,21-22,1384.0,2579.0,5394.0
2016.01.06.,22-23,1388.0,2711.0,5128.0
2016.01.06.,23-24,1492.0,2740.0,4872.0
2016.01.07.,0-1,1376.0,2466.0,4549.0
2016.01.07.,1-2,1280.0,2195.0,4349.0
2016.01.07.,2-3,1322.0,2058.0,4143.0
2016.01.07.,3-4,1270.0,1948.0,4062.0
2016.01.07.,4-5,1299.0,2048.0,4139.0
2016.01.07.,5-6,1253.0,2092.0,4471.0
2016.01.07.,6-7,1081.0,2177.0,5227.0
2016.01.07.,7-8,805.0,2057.0,5511.0
2016.01.07.,8-9,700.0,1979.0,5569.0
2016.01.07.,9-10,613.0,1981.0,5644.0
2016.01.07.,10-11,584.0,2006.0,5650.0
2016.01.07.,11-12,552.0,2014.0,5653.0
2016.01.07.,12-13,561.0,2041.0,5652.0
2016.01.07.,13-14,556.0,2013.0,5577.0
2016.01.07.,14-15,552.0,2012.0,5523.0
2016.01.07.,15-16,584.0,2091.0,5565.0
2016.01.07.,16-17,513.0,2253.0,5781.0
2016.01.07.,17-18,493.0,2248.0,5897.0
2016.01.07.,18-19,479.0,2157.0,5815.0
2016.01.07.,19-20,468.0,2047.0,5729.0
2016.01.07.,20-21,650.0,2014.0,5535.0
2016.01.07.,21-22,1007.0,2154.0,5328.0
2016.01.07.,22-23,1134.0,2450.0,5102.0
2016.01.07.,23-24,1341.0,2462.0,4877.0
2016.01.08.,0-1,1211.0,2225.0,4563.0
