date,hour_utc,price
2013-01-11,4,33.43
2013-01-11,5,36.46
2013-01-11,6,57.74
2013-01-11,7,60.65
2013-01-11,8,62.93
2013-01-11,9,64.46
2013-01-11,10,63.48
2013-01-11,11,62.55
2013-01-11,12,59.46
2013-01-11,13,59.31
2013-01-11,14,57.04
2013-01-11,15,58.88
2013-01-11,16,61.43
2013-01-11,17,69.02
2013-01-11,18,70.18
2013-01-11,19,66.0
2013-01-11,20,61.84
2013-01-11,21,51.67
2013-01-11,22,41.55
2013-01-11,23,37.0
2013-01-12,0,40.0
2013-01-12,1,38.86
2013-01-12,2,37.0
2013-01-12,3,36.52
2013-01-12,4,36.1
2013-01-12,5,37.0
2013-01-12,6,37.39
2013-01-12,7,38.86
2013-01-12,8,42.09
2013-01-12,9,51.91
2013-01-12,10,57.07
2013-01-12,11,60.03
2013-01-12,12,60.02
2013-01-12,13,48.49
2013-01-12,14,46.55
2013-01-12,15,47.5
2013-01-12,16,60.03
2013-01-12,17,80.07
2013-01-12,18,80.04
2013-01-12,19,80.05
2013-01-12,20,60.1
2013-01-12,21,49.33
2013-01-12,22,41.0
2013-01-12,23,38.03
2013-01-13,0,37.0
2013-01-13,1,34.0
2013-01-13,2,33.18
2013-01-13,3,30.62
2013-01-13,4,29.47
2013-01-13,5,29.33
2013-01-13,6,29.67
2013-01-13,7,31.4
2013-01-13,8,33.53
2013-01-13,9,38.0
2013-01-13,10,40.33
2013-01-13,11,42.81
2013-01-13,12,40.18
2013-01-13,13,40.08
2013-01-13,14,38.62
2013-01-13,15,38.6
2013-01-13,16,44.05
2013-01-13,17,51.4
2013-01-13,18,56.82
2013-01-13,19,53.04
2013-01-13,20,47.66
2013-01-13,21,40.43
2013-01-13,22,39.54
2013-01-13,23,35.9
2013-01-14,0,35.79
2013-01-14,1,33.11
2013-01-14,2,29.0
2013-01-14,3,27.51
2013-01-14,4,30.5
2013-01-14,5,36.1
2013-01-14,6,43.72
2013-01-14,7,63.19
2013-01-14,8,65.06
2013-01-14,9,64.8
2013-01-14,10,64.98
2013-01-14,11,65.35
2013-01-14,12,65.34
2013-01-14,13,64.18
2013-01-14,14,63.1
2013-01-14,15,63.6
2013-01-14,16,66.09
2013-01-14,17,82.38
2013-01-14,18,85.18
2013-01-14,19,71.07
2013-01-14,20,62.46
2013-01-14,21,53.27
2013-01-14,22,48.1
2013-01-14,23,38.0
2013-01-15,0,39.0
2013-01-15,1,37.92
2013-01-15,2,36.0
2013-01-15,3,35.29
2013-01-15,4,35.91
2013-01-15,5,39.0
2013-01-15,6,46.3
2013-01-15,7,62.05
2013-01-15,8,63.09
2013-01-15,9,64.57
2013-01-15,10,63.11
2013-01-15,11,63.0
2013-01-15,12,63.05
2013-01-15,13,61.72
2013-01-15,14,58.34
2013-01-15,15,57.79
2013-01-15,16,61.42
2013-01-15,17,74.6
2013-01-15,18,77.0
2013-01-15,19,66.0
2013-01-15,20,60.99
2013-01-15,21,48.22
2013-01-15,22,41.2
2013-01-15,23,38.0
2013-01-16,0,37.16
2013-01-16,1,35.58
2013-01-16,2,19.99
2013-01-16,3,30.73
2013-01-16,4,31.97
2013-01-16,5,38.06
2013-01-16,6,45.07
2013-01-16,7,63.92
2013-01-16,8,67.08
2013-01-16,9,69.5
2013-01-16,10,68.56
2013-01-16,11,69.05
2013-01-16,12,67.18
2013-01-16,13,67.32
2013-01-16,14,65.59
2013-01-16,15,64.93
2013-01-16,16,65.53
2013-01-16,17,77.1
2013-01-16,18,76.0
2013-01-16,19,67.37
2013-01-16,20,60.85
2013-01-16,21,45.0
2013-01-16,22,38.0
2013-01-16,23,36.24
2013-01-17,0,38.29
2013-01-17,1,36.0
2013-01-17,2,33.04
2013-01-17,3,33.01
2013-01-17,4,34.7
2013-01-17,5,37.93
2013-01-17,6,46.06
2013-01-17,7,61.33
2013-01-17,8,64.22
2013-01-17,9,69.43
2013-01-17,10,69.03
2013-01-17,11,68.51
2013-01-17,12,66.0
2013-01-17,13,65.04
2013-01-17,14,60.29
2013-01-17,15,59.5
2013-01-17,16,64.83
2013-01-17,17,76.09
2013-01-17,18,72.9
2013-01-17,19,66.0
2013-01-17,20,60.0
2013-01-17,21,53.47
2013-01-17,22,42.67
2013-01-17,23,39.0
2013-01-18,0,38.5
2013-01-18,1,35.99
2013-01-18,2,31.0
2013-01-18,3,30.52
2013-01-18,4,33.16
2013-01-18,5,36.98
2013-01-18,6,45.0
2013-01-18,7,61.0
2013-01-18,8,60.6
2013-01-18,9,63.89
2013-01-18,10,63.18
2013-01-18,11,62.0
2013-01-18,12,61.4
2013-01-18,13,60.18
2013-01-18,14,57.06
2013-01-18,15,55.68
2013-01-18,16,56.91
2013-01-18,17,64.06
2013-01-18,18,64.03
2013-01-18,19,56.03
2013-01-18,20,51.0
2013-01-18,21,41.9
2013-01-18,22,37.99
2013-01-18,23,35.88
2013-01-19,0,34.89
2013-01-19,1,31.52
2013-01-19,2,30.21
2013-01-19,3,29.34
2013-01-19,4,28.39
2013-01-19,5,27.7
2013-01-19,6,29.2
2013-01-19,7,34.33
2013-01-19,8,35.95
2013-01-19,9,42.2
2013-01-19,10,43.95
2013-01-19,11,43.93
2013-01-19,12,41.8
2013-01-19,13,39.0
2013-01-19,14,37.63
2013-01-19,15,38.5
2013-01-19,16,41.41
2013-01-19,17,49.48
2013-01-19,18,53.91
2013-01-19,19,48.46
2013-01-19,20,44.45
2013-01-19,21,36.89
2013-01-19,22,36.05
2013-01-19,23,32.41
2013-01-20,0,31.34
2013-01-20,1,27.25
2013-01-20,2,10.0
2013-01-20,3,10.0
2013-01-20,4,10.0
2013-01-20,5,19.08
2013-01-20,6,1.0
2013-01-20,7,23.01
2013-01-20,8,31.05
2013-01-20,9,35.51
2013-01-20,10,40.06
2013-01-20,11,41.4
2013-01-20,12,40.47
2013-01-20,13,39.69
2013-01-20,14,36.0
2013-01-20,15,35.12
2013-01-20,16,37.04
2013-01-20,17,40.7
2013-01-20,18,44.4
2013-01-20,19,43.61
2013-01-20,20,37.36
2013-01-20,21,33.35
2013-01-20,22,32.04
2013-01-20,23,26.89
2013-01-21,0,26.42
2013-01-21,1,24.57
2013-01-21,2,21.97
2013-01-21,3,21.08
2013-01-21,4,21.46
2013-01-21,5,28.88
2013-01-21,6,38.8
2013-01-21,7,49.6
2013-01-21,8,52.0
2013-01-21,9,54.35
2013-01-21,10,56.0
2013-01-21,11,55.09
2013-01-21,12,55.31
2013-01-21,13,55.0
2013-01-21,14,51.2
2013-01-21,15,49.04
2013-01-21,16,52.0
2013-01-21,17,59.0
2013-01-21,18,52.71
2013-01-21,19,48.0
2013-01-21,20,48.0
2013-01-21,21,40.24
2013-01-21,22,37.0
2013-01-21,23,33.08
2013-01-22,0,32.57
2013-01-22,1,32.0
2013-01-22,2,29.0
2013-01-22,3,29.63
2013-01-22,4,32.0
2013-01-22,5,35.0
2013-01-22,6,40.0
2013-01-22,7,55.6
2013-01-22,8,61.08
2013-01-22,9,61.8
2013-01-22,10,62.42
2013-01-22,11,61.44
2013-01-22,12,61.86
2013-01-22,13,61.71
2013-01-22,14,59.54
2013-01-22,15,57.44
2013-01-22,16,60.03
2013-01-22,17,71.68
2013-01-22,18,71.0
2013-01-22,19,62.8
2013-01-22,20,58.0
2013-01-22,21,51.0
2013-01-22,22,43.02
2013-01-22,23,38.2
2013-01-23,0,29.6
2013-01-23,1,15.0
2013-01-23,2,14.93
2013-01-23,3,9.98
2013-01-23,4,16.0
2013-01-23,5,37.0
2013-01-23,6,48.02
2013-01-23,7,60.35
2013-01-23,8,60.0
2013-01-23,9,66.21
2013-01-23,10,64.08
2013-01-23,11,65.0
2013-01-23,12,63.56
2013-01-23,13,62.78
2013-01-23,14,59.96
2013-01-23,15,59.59
2013-01-23,16,62.36
2013-01-23,17,80.9
2013-01-23,18,80.98
2013-01-23,19,65.05
2013-01-23,20,54.8
2013-01-23,21,41.5
2013-01-23,22,40.0
2013-01-23,23,36.09
2013-01-24,0,39.2
2013-01-24,1,37.02
2013-01-24,2,36.1
2013-01-24,3,35.74
2013-01-24,4,37.33
2013-01-24,5,39.15
2013-01-24,6,48.12
2013-01-24,7,67.0
2013-01-24,8,75.0
2013-01-24,9,74.32
2013-01-24,10,74.0
2013-01-24,11,70.46
2013-01-24,12,69.2
2013-01-24,13,67.93
2013-01-24,14,66.07
2013-01-24,15,63.25
2013-01-24,16,65.57
2013-01-24,17,81.66
2013-01-24,18,86.1
2013-01-24,19,71.78
2013-01-24,20,60.92
2013-01-24,21,53.51
2013-01-24,22,49.68
2013-01-24,23,40.0
2013-01-25,0,37.0
2013-01-25,1,37.0
2013-01-25,2,33.9
2013-01-25,3,33.71
2013-01-25,4,34.9
2013-01-25,5,37.9
2013-01-25,6,48.93
2013-01-25,7,69.3
2013-01-25,8,75.86
2013-01-25,9,76.2
2013-01-25,10,72.08
2013-01-25,11,70.47
2013-01-25,12,65.6
2013-01-25,13,62.0
2013-01-25,14,59.0
2013-01-25,15,56.09
2013-01-25,16,59.3
2013-01-25,17,69.0
2013-01-25,18,68.83
2013-01-25,19,61.21
2013-01-25,20,55.89
2013-01-25,21,42.0
2013-01-25,22,40.0
2013-01-25,23,35.0
2013-01-26,0,33.91
2013-01-26,1,33.0
2013-01-26,2,32.7
2013-01-26,3,32.0
2013-01-26,4,31.37
2013-01-26,5,30.55
2013-01-26,6,29.2
2013-01-26,7,33.14
2013-01-26,8,35.05
2013-01-26,9,39.11
2013-01-26,10,39.5
2013-01-26,11,41.57
2013-01-26,12,42.02
2013-01-26,13,38.14
2013-01-26,14,37.0
2013-01-26,15,37.78
2013-01-26,16,40.54
2013-01-26,17,49.56
2013-01-26,18,52.52
2013-01-26,19,49.35
2013-01-26,20,43.61
2013-01-26,21,37.72
2013-01-26,22,37.08
2013-01-26,23,33.3
2013-01-27,0,28.0
2013-01-27,1,25.0
2013-01-27,2,23.5
2013-01-27,3,22.0
2013-01-27,4,20.46
2013-01-27,5,19.06
2013-01-27,6,17.0
2013-01-27,7,17.96
2013-01-27,8,23.86
2013-01-27,9,30.0
2013-01-27,10,33.55
2013-01-27,11,55.03
2013-01-27,12,33.05
2013-01-27,13,30.02
2013-01-27,14,25.17
2013-01-27,15,23.58
2013-01-27,16,26.74
2013-01-27,17,61.28
2013-01-27,18,55.03
2013-01-27,19,50.08
2013-01-27,20,83.01
2013-01-27,21,33.05
2013-01-27,22,32.13
2013-01-27,23,25.48
2013-01-28,0,25.25
2013-01-28,1,25.0
2013-01-28,2,22.85
2013-01-28,3,21.9
2013-01-28,4,25.1
2013-01-28,5,29.0
2013-01-28,6,38.64
2013-01-28,7,54.72
2013-01-28,8,56.71
2013-01-28,9,55.67
2013-01-28,10,55.75
2013-01-28,11,55.02
2013-01-28,12,53.8
2013-01-28,13,51.2
2013-01-28,14,47.42
2013-01-28,15,45.46
2013-01-28,16,49.12
2013-01-28,17,56.11
2013-01-28,18,56.9
2013-01-28,19,52.0
2013-01-28,20,50.08
2013-01-28,21,40.21
2013-01-28,22,35.81
2013-01-28,23,28.19
2013-01-29,0,23.18
2013-01-29,1,18.4
2013-01-29,2,10.48
2013-01-29,3,5.09
2013-01-29,4,8.07
2013-01-29,5,15.0
2013-01-29,6,33.24
2013-01-29,7,73.63
2013-01-29,8,44.97
2013-01-29,9,44.68
2013-01-29,10,43.53
2013-01-29,11,44.1
2013-01-29,12,44.6
2013-01-29,13,46.7
2013-01-29,14,59.01
2013-01-29,15,49.9
2013-01-29,16,77.14
2013-01-29,17,90.07
2013-01-29,18,79.87
2013-01-29,19,80.01
2013-01-29,20,77.15
2013-01-29,21,72.08
2013-01-29,22,77.13
2013-01-29,23,50.01
2013-01-30,0,20.05
2013-01-30,1,11.0
2013-01-30,2,8.0
2013-01-30,3,2.87
2013-01-30,4,5.22
2013-01-30,5,13.05
2013-01-30,6,67.06
2013-01-30,7,42.03
2013-01-30,8,39.1
2013-01-30,9,42.27
2013-01-30,10,36.99
2013-01-30,11,36.01
2013-01-30,12,34.47
2013-01-30,13,33.93
2013-01-30,14,32.99
2013-01-30,15,31.5
2013-01-30,16,32.97
2013-01-30,17,45.41
2013-01-30,18,39.2
2013-01-30,19,36.07
2013-01-30,20,33.25
2013-01-30,21,29.98
2013-01-30,22,37.01
2013-01-30,23,21.89
2013-01-31,0,70.04
2013-01-31,1,3.06
2013-01-31,2,0.52
2013-01-31,3,0.38
2013-01-31,4,2.01
2013-01-31,5,36.61
2013-01-31,6,77.69
2013-01-31,7,77.69
2013-01-31,8,43.23
2013-01-31,9,55.09
2013-01-31,10,70.24
2013-01-31,11,70.26
2013-01-31,12,70.23
2013-01-31,13,37.36
2013-01-31,14,36.07
2013-01-31,15,34.2
2013-01-31,16,37.5
2013-01-31,17,70.28
2013-01-31,18,77.61
2013-01-31,19,70.23
