date_utc,hour_utc,system_vertical_load_MW
2013-01-12,0,4357
2013-01-12,1,4141
2013-01-12,2,4010
2013-01-12,3,4008
2013-01-12,4,4126
2013-01-12,5,4434
2013-01-12,6,4672
2013-01-12,7,4906
2013-01-12,8,5096
2013-01-12,9,5213
2013-01-12,10,5259
2013-01-12,11,5223
2013-01-12,12,5107
2013-01-12,13,5034
2013-01-12,14,5080
2013-01-12,15,5358
2013-01-12,16,5523
2013-01-12,17,5484
2013-01-12,18,5450
2013-01-12,19,5281
2013-01-12,20,5031
2013-01-12,21,4735
2013-01-12,22,4498
2013-01-12,23,4218
2013-01-13,0,4048
2013-01-13,1,3839
2013-01-13,2,3731
2013-01-13,3,3730
2013-01-13,4,3838
2013-01-13,5,4082
2013-01-13,6,4325
2013-01-13,7,4617
2013-01-13,8,4889
2013-01-13,9,5102
2013-01-13,10,5167
2013-01-13,11,5123
2013-01-13,12,4971
2013-01-13,13,4929
2013-01-13,14,4947
2013-01-13,15,5249
2013-01-13,16,5438
2013-01-13,17,5416
2013-01-13,18,5438
2013-01-13,19,5327
2013-01-13,20,5048
2013-01-13,21,4727
2013-01-13,22,4475
2013-01-13,23,4213
2013-01-14,0,4101
2013-01-14,1,3946
2013-01-14,2,3862
2013-01-14,3,3982
2013-01-14,4,4391
2013-01-14,5,5281
2013-01-14,6,5629
2013-01-14,7,5667
2013-01-14,8,5764
2013-01-14,9,5819
2013-01-14,10,5834
2013-01-14,11,5865
2013-01-14,12,5835
2013-01-14,13,5804
2013-01-14,14,5868
2013-01-14,15,6083
2013-01-14,16,6133
2013-01-14,17,6021
2013-01-14,18,5920
2013-01-14,19,5804
2013-01-14,20,5565
2013-01-14,21,5306
2013-01-14,22,5037
2013-01-14,23,4699
2013-01-15,0,4502
2013-01-15,1,4297
2013-01-15,2,4194
2013-01-15,3,4279
2013-01-15,4,4605
2013-01-15,5,5379
2013-01-15,6,5705
2013-01-15,7,5726
2013-01-15,8,5779
2013-01-15,9,5810
2013-01-15,10,5819
2013-01-15,11,5818
2013-01-15,12,5763
2013-01-15,13,5751
2013-01-15,14,5816
2013-01-15,15,6008
2013-01-15,16,6104
2013-01-15,17,5978
2013-01-15,18,5899
2013-01-15,19,5780
2013-01-15,20,5569
2013-01-15,21,5336
2013-01-15,22,5060
2013-01-15,23,4714
2013-01-16,0,4500
2013-01-16,1,4288
2013-01-16,2,4183
2013-01-16,3,4277
2013-01-16,4,4637
2013-01-16,5,5425
2013-01-16,6,5735
2013-01-16,7,5772
2013-01-16,8,5815
2013-01-16,9,5849
2013-01-16,10,5858
2013-01-16,11,5858
2013-01-16,12,5778
2013-01-16,13,5774
2013-01-16,14,5817
2013-01-16,15,6032
2013-01-16,16,6119
2013-01-16,17,5996
2013-01-16,18,5935
2013-01-16,19,5816
2013-01-16,20,5576
2013-01-16,21,5332
2013-01-16,22,5054
2013-01-16,23,4713
2013-01-17,0,4500
2013-01-17,1,4287
2013-01-17,2,4184
2013-01-17,3,4281
2013-01-17,4,4635
2013-01-17,5,5406
2013-01-17,6,5723
2013-01-17,7,5737
2013-01-17,8,5816
2013-01-17,9,5869
2013-01-17,10,5909
2013-01-17,11,5940
2013-01-17,12,5874
2013-01-17,13,5858
2013-01-17,14,5892
2013-01-17,15,6032
2013-01-17,16,6077
2013-01-17,17,5970
2013-01-17,18,5887
2013-01-17,19,5762
2013-01-17,20,5552
2013-01-17,21,5310
2013-01-17,22,5041
2013-01-17,23,4704
2013-01-18,0,4471
2013-01-18,1,4263
2013-01-18,2,4166
2013-01-18,3,4263
2013-01-18,4,4634
2013-01-18,5,5385
2013-01-18,6,5710
2013-01-18,7,5770
2013-01-18,8,5876
2013-01-18,9,5954
2013-01-18,10,5964
2013-01-18,11,5964
2013-01-18,12,5886
2013-01-18,13,5838
2013-01-18,14,5854
2013-01-18,15,5988
2013-01-18,16,6028
