date,tick,export,import,system_load
2016.01.07.,8-9,700,1979,5569
2016.01.07.,9-10,613,1981,5644
2016.01.07.,10-11,584,2006,5650
2016.01.07.,11-12,552,2014,5653
2016.01.07.,12-13,561,2041,5652
2016.01.07.,13-14,556,2013,5577
2016.01.07.,14-15,552,2012,5523
2016.01.07.,15-16,584,2091,5565
2016.01.07.,16-17,513,2253,5781
2016.01.07.,17-18,493,2248,5897
2016.01.07.,18-19,479,2157,5815
2016.01.07.,19-20,468,2047,5729
2016.01.07.,20-21,650,2014,5535
2016.01.07.,21-22,1007,2154,5328
2016.01.07.,22-23,1134,2450,5102
2016.01.07.,23-24,1341,2462,4877
2016.01.08.,0-1,1211,2225,4563
2016.01.08.,1-2,1157,2160,4386
2016.01.08.,2-3,1014,1835,4193
2016.01.08.,3-4,983,1732,4104
2016.01.08.,4-5,984,1774,4205
2016.01.08.,5-6,1136,2007,4553
2016.01.08.,6-7,896,2089,5320
2016.01.08.,7-8,735,2131,5625
2016.01.08.,8-9,705,2134,5680
2016.01.08.,9-10,760,2119,5732
2016.01.08.,10-11,783,2191,5736
2016.01.08.,11-12,814,2354,5741
2016.01.08.,12-13,737,2442,5713
2016.01.08.,13-14,806,2394,5602
2016.01.08.,14-15,857,2264,5544
2016.01.08.,15-16,716,2207,5595
2016.01.08.,16-17,589,2284,5811
2016.01.08.,17-18,615,2274,5863
2016.01.08.,18-19,666,2226,5735
2016.01.08.,19-20,663,2107,5622
2016.01.08.,20-21,779,2015,5422
2016.01.08.,21-22,1030,2033,5241
2016.01.08.,22-23,973,2135,5026
2016.01.08.,23-24,1172,2125,4796
2016.01.09.,0-1,1257,2252,4476
2016.01.09.,1-2,1290,2242,4281
2016.01.09.,2-3,1274,2113,4065
2016.01.09.,3-4,1326,2071,3946
2016.01.09.,4-5,1312,2099,3952
2016.01.09.,5-6,1338,2242,4068
2016.01.09.,6-7,1330,2475,4382
2016.01.09.,7-8,1307,2548,4676
2016.01.09.,8-9,1125,2600,4943
2016.01.09.,9-10,953,2661,5185
2016.01.09.,10-11,858,2682,5335
2016.01.09.,11-12,715,2612,5430
2016.01.09.,12-13,746,2641,5422
2016.01.09.,13-14,776,2612,5279
2016.01.09.,14-15,764,2528,5169
2016.01.09.,15-16,681,2502,5188
2016.01.09.,16-17,658,2614,5389
2016.01.09.,17-18,653,2636,5410
2016.01.09.,18-19,688,2557,5328
2016.01.09.,19-20,711,2553,5254
2016.01.09.,20-21,721,2468,5091
2016.01.09.,21-22,919,2462,4876
2016.01.09.,22-23,948,2319,4623
2016.01.09.,23-24,1262,2509,4396
2016.01.10.,0-1,1380,2371,4096
2016.01.10.,1-2,1376,2186,3958
2016.01.10.,2-3,1473,2114,3760
2016.01.10.,3-4,1335,1936,3646
2016.01.10.,4-5,1220,1815,3658
2016.01.10.,5-6,1226,1921,3734
2016.01.10.,6-7,1134,1970,3904
2016.01.10.,7-8,1173,2189,4145
2016.01.10.,8-9,1095,2398,4462
2016.01.10.,9-10,925,2533,4804
2016.01.10.,10-11,666,2490,5003
